datetime_,file_name,file_name_path,img_data_path,elpased_time (us),wass_image_name,part,elpased_time (us) (parts)
2021-08-18 18:30:53.698686,camera0-2021-08-18---18-30-53.698686.tiff,example\sample_image_data\2021-08-18---18-30/camera0\camera0-2021-08-18---18-30-53.698686.tiff,example\sample_image_data\2021-08-18---18-30/camera0,0,000000_0000000000000_00.tif,1,0
2021-08-18 18:30:54.199838,camera0-2021-08-18---18-30-54.199838.tiff,example\sample_image_data\2021-08-18---18-30/camera0\camera0-2021-08-18---18-30-54.199838.tiff,example\sample_image_data\2021-08-18---18-30/camera0,501152,000001_0000000501152_00.tif,1,501152
2021-08-18 18:30:54.703104,camera0-2021-08-18---18-30-54.703104.tiff,example\sample_image_data\2021-08-18---18-30/camera0\camera0-2021-08-18---18-30-54.703104.tiff,example\sample_image_data\2021-08-18---18-30/camera0,1004418,000002_0000001004418_00.tif,1,1004418
2021-08-18 18:30:55.198992,camera0-2021-08-18---18-30-55.198992.tiff,example\sample_image_data\2021-08-18---18-30/camera0\camera0-2021-08-18---18-30-55.198992.tiff,example\sample_image_data\2021-08-18---18-30/camera0,1500306,000003_0000001500306_00.tif,1,1500306
2021-08-18 18:30:55.699975,camera0-2021-08-18---18-30-55.699975.tiff,example\sample_image_data\2021-08-18---18-30/camera0\camera0-2021-08-18---18-30-55.699975.tiff,example\sample_image_data\2021-08-18---18-30/camera0,2001288,000004_0000002001288_00.tif,1,2001288
2021-08-18 18:30:56.199399,camera0-2021-08-18---18-30-56.199399.tiff,example\sample_image_data\2021-08-18---18-30/camera0\camera0-2021-08-18---18-30-56.199399.tiff,example\sample_image_data\2021-08-18---18-30/camera0,2500713,000005_0000002500713_00.tif,1,2500713
2021-08-18 18:30:56.700275,camera0-2021-08-18---18-30-56.700275.tiff,example\sample_image_data\2021-08-18---18-30/camera0\camera0-2021-08-18---18-30-56.700275.tiff,example\sample_image_data\2021-08-18---18-30/camera0,3001589,000006_0000003001589_00.tif,1,3001589
2021-08-18 18:30:57.199462,camera0-2021-08-18---18-30-57.199462.tiff,example\sample_image_data\2021-08-18---18-30/camera0\camera0-2021-08-18---18-30-57.199462.tiff,example\sample_image_data\2021-08-18---18-30/camera0,3500776,000007_0000003500776_00.tif,1,3500776
2021-08-18 18:30:57.700081,camera0-2021-08-18---18-30-57.700081.tiff,example\sample_image_data\2021-08-18---18-30/camera0\camera0-2021-08-18---18-30-57.700081.tiff,example\sample_image_data\2021-08-18---18-30/camera0,4001394,000008_0000004001394_00.tif,1,4001394
2021-08-18 18:30:58.200096,camera0-2021-08-18---18-30-58.200096.tiff,example\sample_image_data\2021-08-18---18-30/camera0\camera0-2021-08-18---18-30-58.200096.tiff,example\sample_image_data\2021-08-18---18-30/camera0,4501410,000009_0000004501410_00.tif,1,4501410
